Geneid,Chr,Start,End,Strand,Length
YHR178W,VIII,459299,461530,+,2232
YHR063W-A,VIII,225442,225777,+,336
YHR040W,VIII,187924,189024,+,1101
YHR192W,VIII,486826,487662,+,837
YHR017W,VIII,138694,139851,+,1158
YHR004C,VIII,111754,113094,-,1341
YHL040C,VIII,19088,20971,-,1884
YHR191C,VIII,486230,486631,-,402
YHR201C,VIII,499950,501143,-,1194
YHR103W,VIII,320414,322972,+,2559
YHR213W,VIII,539151,539747,+,597
YHR153C,VIII,402086,402682,-,597
YHR082C,VIII,268459,271548,-,3090
YHR069C-A,VIII,234874,235236,-,363
YHR020W,VIII,143996,146062,+,2067
YHR057C,VIII,218226,218843,-,618
YHL024W,VIII,56649,58790,+,2142
YHR128W,VIII,362115,362765,+,651
tQ(UUG)H,VIII,134321,134392,+,72
YHR047C,VIII,198740,201310,-,2571
YHL026C,VIII,53219,54166,-,948
YHR197W,VIII,493896,496187,+,2292
YHR028C,VIII,164978,167434,-,2457
YHR134W,VIII,371749,372558,+,810
YHR122W,VIII,353625,354320,+,696
YHR067W,VIII,230970,231812,+,843
YHL037C,VIII,25778,26179,-,402
YHR013C,VIII,130730,131446,-,717
YHR137W,VIII,375709,377250,+,1542
tT(AGU)H,VIII,116107,116179,-,73
YHR158C,VIII,413685,417179,-,3495
YHR038W,VIII,184066,184758,+,693
YHR042W,VIII,190543,192618,+,2076
YHR028W-A,VIII,167352,167672,+,321
YHL049C,VIII,3726,4541,-,816
YHR041C,VIII,189131,189864,-,734
YHR069C,VIII,233579,234658,-,1080
YHR200W,VIII,499079,499885,+,807
YHR053C,VIII,212535,212720,-,186
YHR218W,VIII,558014,559924,+,1911
YHR021W-A,VIII,149225,149680,+,456
YHR114W,VIII,338083,339984,+,1902
YHR039C,VIII,184875,186809,-,1935
YHL019W-A,VIII,67711,68304,+,594
YHR152W,VIII,401434,401955,+,522
YHL046W-A,VIII,9981,10307,+,327
YHL011C,VIII,80654,81616,-,963
YHR129C,VIII,362999,364153,-,1155
YHR199C,VIII,497490,498422,-,933
YHR159W,VIII,417549,419063,+,1515
YHR193C,VIII,487712,488236,-,525
YHR030C,VIII,168890,170344,-,1455
YHL050C,VIII,445,3311,-,2867
YHR162W,VIII,423072,423461,+,390
YHR089C,VIII,282681,283298,-,618
YHL005C,VIII,98828,99220,-,393
YHR010W,VIII,126521,127492,+,972
YHR079C-A,VIII,262192,262553,-,362
YHR212C,VIII,537759,538094,-,336
YHR005C,VIII,113499,114917,-,1419
YHR187W,VIII,480990,481919,+,930
YHR183W,VIII,470960,472429,+,1470
YHR205W,VIII,509363,511837,+,2475
YHR139C-A,VIII,380108,380419,-,312
YHR111W,VIII,333072,334394,+,1323
YHR049W,VIII,206462,207193,+,732
YHR131W-A,VIII,367747,367992,+,246
YHR072W,VIII,239098,241293,+,2196
YHR209W,VIII,519437,520312,+,876
YHR107C,VIII,326813,328036,-,1224
YHR071W,VIII,237004,237693,+,690
snR71,VIII,411228,411317,+,90
YHR216W,VIII,554396,555967,+,1572
YHL013C,VIII,77430,78353,-,924
YHR060W,VIII,220725,221270,+,546
YHR143W-A,VIII,387233,387445,+,213
YHR142W,VIII,383538,384488,+,951
YHR058C,VIII,218997,219884,-,888
YHL008C,VIII,92627,94510,-,1884
YHR054W-A,VIII,214508,214702,+,195
YHR118C,VIII,344321,345628,-,1308
tT(UGU)H,VIII,466990,467061,+,72
YHL048W,VIII,6401,7546,+,1146
YHR157W,VIII,412907,413455,+,549
YHR110W,VIII,332282,332920,+,639
YHR023W,VIII,151666,157452,+,5787
YHR062C,VIII,222877,223758,-,882
YHR219W,VIII,560173,562047,+,1875
YHR136C,VIII,374654,375100,-,447
YHL001W,VIII,104277,105091,+,815
YHR181W,VIII,467228,467914,+,687
YHR214C-B,VIII,543964,549346,-,5383
YHL009W-B,VIII,85909,91318,+,5410
YHR214C-C,VIII,547910,549346,-,1437
YHL009W-A,VIII,85909,87150,+,1242
YJL160C,X,117962,118825,-,864
YJL204C,X,50629,53151,-,2523
YJR105W,X,623581,624603,+,1023
YJR129C,X,664000,665019,-,1020
YJL139C,X,151713,152999,-,1287
YJL062W-A,X,316723,316980,+,258
YJL110C,X,209922,211577,-,1656
YJR088C,X,586495,587373,-,879
YJL213W,X,32163,33158,+,996
YJR046W,X,522048,523862,+,1815
YJL020C,X,398937,402410,-,3474
YJL187C,X,76803,79262,-,2460
YJR131W,X,667644,669293,+,1650
YJL133W,X,160619,161563,+,945
YJL086C,X,272478,272846,-,369
YJR053W,X,534027,535751,+,1725
YJR044C,X,518763,519185,-,423
YJR100C,X,616351,617334,-,984
YJR012C,X,459795,460418,-,624
YJR067C,X,567019,567444,-,426
YJR146W,X,703885,704238,+,354
YJR140W-A,X,690961,691110,+,150
YJR130C,X,665218,667137,-,1920
YJR069C,X,568806,569399,-,594
tV(AAC)J,X,378360,378433,+,74
YJR120W,X,647126,647476,+,351
YJL186W,X,80155,81915,+,1761
YJL008C,X,419957,421663,-,1707
YJL061W,X,320016,322157,+,2142
YJR085C,X,585120,585437,-,318
YJR040W,X,507746,510085,+,2340
YJL189W,X,75933,76474,+,542
YJR039W,X,503936,507301,+,3366
YJL202C,X,53943,54290,-,348
YJL009W,X,419855,420181,+,327
YJR005W,X,445923,448025,+,2103
YJL006C,X,423138,424109,-,972
YJR150C,X,708811,709707,-,897
YJR098C,X,613186,615156,-,1971
YJL103C,X,229025,230881,-,1857
YJL156C,X,126853,128952,-,2100
YJL185C,X,82095,82976,-,882
YJL135W,X,157877,158194,+,318
YJR138W,X,684567,689321,+,4755
YJL108C,X,217705,218856,-,1152
YJR037W,X,503102,503485,+,384
YJR079W,X,580205,581239,+,1035
YJR049C,X,526884,528476,-,1593
YJR008W,X,452430,453446,+,1017
YJR023C,X,469804,470205,-,402
YJR002W,X,438865,440646,+,1782
YJR145C,X,702027,703068,-,1042
YJR048W,X,526335,526664,+,330
YJR009C,X,453683,454681,-,999
YJL222W-A,X,9452,9679,+,228
YJL173C,X,96161,96529,-,369
YJR014W,X,461829,462425,+,597
YJR135W-A,X,676971,677234,+,264
YJR045C,X,519638,521602,-,1965
YJL176C,X,92053,94530,-,2478
YJL193W,X,71366,72574,+,1209
YJR128W,X,662921,663280,+,360
YJL159W,X,120449,121690,+,1242
YJL030W,X,387657,388247,+,591
YJL047C,X,349580,352108,-,2529
YJL194W,X,69338,70879,+,1542
YJL195C,X,69241,69942,-,702
YJR108W,X,628712,629083,+,372
YJL199C,X,59856,60182,-,327
YJL216C,X,24341,26086,-,1746
YJL011C,X,414285,414770,-,486
YJR060W,X,548759,549814,+,1056
YJR119C,X,644304,646490,-,2187
YJR092W,X,598735,603078,+,4344
YJL051W,X,339787,342255,+,2469
YJR071W,X,570405,570773,+,369
YJR115W,X,639942,640451,+,510
YJL010C,X,417562,419562,-,2001
YJL084C,X,274862,278002,-,3141
YJR030C,X,483959,486196,-,2238
YJL119C,X,191572,191895,-,324
YJL221C,X,16767,18536,-,1770
YJR140C,X,690750,695696,-,4947
YJR161C,X,742848,743999,-,1152
YJL136C,X,156550,157273,-,724
tR(ACG)J,X,233939,234011,+,73
YJL146W,X,143292,144701,+,1410
YJL060W,X,323386,324720,+,1335
tW(CCA)J,X,415931,416036,-,106
YJL117W,X,192531,193466,+,936
YJL149W,X,137379,139370,+,1992
YJR063W,X,555195,555572,+,378
YJL067W,X,314084,314434,+,351
YJL164C,X,109966,111159,-,1194
YJL223C,X,8776,9138,-,363
YJL079C,X,289875,290774,-,900
snR3,X,663749,663942,+,194
YJL156W-A,X,126604,126825,+,222
YJL106W,X,221390,223327,+,1938
YJL171C,X,99704,100894,-,1191
YJL058C,X,326242,327873,-,1632
tL(UAG)J,X,617919,618019,+,101
YJL132W,X,161914,164166,+,2253
YJL172W,X,97737,99467,+,1731
YJR114W,X,638659,639051,+,393
YJL093C,X,254737,256812,-,2076
YJL163C,X,111666,113333,-,1668
YJR153W,X,722815,723900,+,1086
YJL179W,X,88787,89116,+,330
YJR080C,X,580432,581616,-,1185
YJL037W,X,376662,377336,+,675
YJL104W,X,227327,227776,+,450
YJL050W,X,342522,345743,+,3222
YJL002C,X,433221,434651,-,1431
YJR084W,X,583733,585004,+,1272
YJL220W,X,18243,18695,+,453
YJR034W,X,496683,497009,+,327
YJR019C,X,467232,468281,-,1050
YJR093C,X,603220,604203,-,984
YJL201W,X,54379,56178,+,1800
YJL161W,X,117245,117787,+,543
YJR021C,X,468555,469579,-,1025
YJL070C,X,307971,310637,-,2667
snR128,X,139566,139691,-,126
YJL029C,X,388385,390853,-,2469
YJR010W,X,456239,457774,+,1536
YJR151W-A,X,717580,717630,+,51
tD(GUC)J3,X,374424,374495,-,72
YJR144W,X,700882,701691,+,810
YJL073W,X,303181,305118,+,1938
YJL022W,X,398109,398417,+,309
YJR038C,X,503710,504072,-,363
snR37,X,228094,228479,-,386
YJR094W-A,X,608305,608858,+,554
YJL052W,X,338271,339269,+,999
YJR139C,X,689445,690524,-,1080
YJR158W,X,732440,734143,+,1704
YJL089W,X,265926,268415,+,2490
YJL077W-B,X,294047,294145,+,99
YJL016W,X,405588,407273,+,1686
YJL127W-A,X,180194,180310,+,117
YJR007W,X,451020,451934,+,915
tA(AGC)J,X,197313,197385,-,73
YJR096W,X,611195,612043,+,849
YJL032W,X,386348,386662,+,315
YJR065C,X,557809,559158,-,1350
YJL019W,X,402897,404945,+,2049
YJR082C,X,581914,582255,-,342
YJL181W,X,85660,87495,+,1836
YJR095W,X,609773,610741,+,969
YJR086W,X,586068,586400,+,333
YJL077C,X,294666,295061,-,396
tR(UCU)J2,X,374506,374577,-,72
YJR006W,X,449202,450665,+,1464
YJR072C,X,570967,572124,-,1158
YJL118W,X,191639,192298,+,660
YJL184W,X,83448,83819,+,372
YJR133W,X,672991,673620,+,630
YJR025C,X,471138,471671,-,534
YJR018W,X,466786,467148,+,363
YJL095W,X,247255,251691,+,4437
YJR147W,X,704196,705272,+,1077
YJL043W,X,360130,360903,+,774
YJL107C,X,218853,220016,-,1164
YJL012C,X,411234,413399,-,2166
YJR121W,X,647607,649142,+,1536
YJL145W,X,145160,146044,+,885
YJL153C,X,134332,135933,-,1602
YJL088W,X,268799,269815,+,1017
YJR064W,X,555914,557602,+,1689
YJL137C,X,154985,156127,-,1143
YJL074C,X,299157,302849,-,3693
YJL111W,X,207877,209529,+,1653
YJL158C,X,122265,122948,-,684
YJR016C,X,464451,466208,-,1758
YJR099W,X,615576,616286,+,711
YJL208C,X,40194,41183,-,990
YJL048C,X,347447,348637,-,1191
YJL197W,X,63805,67569,+,3765
YJR074W,X,573095,573751,+,657
YJL127C-B,X,181551,181709,-,159
tD(GUC)J4,X,541508,541579,+,72
YJL020W-A,X,400981,401238,+,258
YJL078C,X,291336,293981,-,2646
YJL165C,X,106894,109461,-,2568
YJR117W,X,642007,643368,+,1362
YJR057W,X,544062,544712,+,651
YJR160C,X,738008,739816,-,1809
YJL134W,X,158188,159417,+,1230
YJL219W,X,19497,21200,+,1704
YJL081C,X,283802,285271,-,1470
YJL054W,X,334265,335701,+,1437
YJR137C,X,678957,683285,-,4329
tK(CUU)J,X,414966,415038,+,73
YJL038C,X,375115,375774,-,660
YJR056C,X,541792,542502,-,711
YJL072C,X,305221,305862,-,642
YJR152W,X,719666,721297,+,1632
YJL142C,X,147819,148211,-,393
YJL192C,X,72710,73414,-,705
YJR001W,X,436802,438610,+,1809
YJR110W,X,633615,635681,+,2067
YJL190C,X,74910,75302,-,393
YJL182C,X,85435,85752,-,318
YJL099W,X,239414,241654,+,2241
YJL090C,X,262757,265051,-,2295
YJL055W,X,333357,334094,+,738
YJL085W,X,272827,274698,+,1872
YJR109C,X,629585,632941,-,3357
YJL167W,X,105014,106072,+,1059
tM(CAU)J3,X,517813,517884,-,72
YJL127C,X,182298,184220,-,1923
YJR004C,X,442909,444861,-,1953
YJL036W,X,378825,380096,+,1272
YJL150W,X,137123,137425,+,303
YJL168C,X,102227,104428,-,2202
YJR036C,X,500713,503391,-,2679
YJL162C,X,113878,115629,-,1752
YJR106W,X,624838,627015,+,2178
YJR043C,X,516461,517513,-,1053
YJR066W,X,559416,566828,+,7413
YJL001W,X,435163,435926,+,764
YJR061W,X,550511,553318,+,2808
YJL212C,X,33850,36249,-,2400
YJL024C,X,395931,396592,-,662
YJR125C,X,654737,655963,-,1227
YJR051W,X,529861,531366,+,1506
YJR112W-A,X,637790,638168,+,379
YJR050W,X,528697,529404,+,708
YJR011C,X,458641,459426,-,786
YJR136C,X,677441,678706,-,1266
YJL200C,X,56444,58813,-,2370
YJL188C,X,76202,76510,-,309
YJL170C,X,101150,101779,-,630
YJL129C,X,173599,177306,-,3708
YJR112W,X,637030,637635,+,606
YJR103W,X,620754,622490,+,1737
YJL044C,X,358300,359676,-,1377
YJL157C,X,123836,126328,-,2493
YJR142W,X,697141,698169,+,1029
YJL034W,X,381327,383375,+,2049
YJL183W,X,84068,85336,+,1269
YJR031C,X,486586,490812,-,4227
YJL066C,X,314114,314872,-,759
YJR077C,X,577255,578190,-,936
YJL064W,X,315175,315570,+,396
YJL136W-A,X,156169,156252,+,84
YJR010C-A,X,458077,458361,-,285
YJR033C,X,492378,496451,-,4074
YJL068C,X,313016,313915,-,900
YJL112W,X,205305,207449,+,2145
YJL039C,X,368748,373799,-,5052
YJL180C,X,87583,88560,-,978
YJL147C,X,141419,142567,-,1149
YJR116W,X,640825,641664,+,840
YJL025W,X,393967,395511,+,1545
YJR062C,X,553476,554849,-,1374
YJR090C,X,590872,594327,-,3456
YJR035W,X,497355,500612,+,3258
YJL174W,X,95092,95922,+,831
YJL203W,X,53341,54183,+,843
YJL014W,X,407558,409162,+,1605
YJL027C,X,391833,392249,-,417
YJR157W,X,730515,730877,+,363
YJR149W,X,707160,708374,+,1215
YJR154W,X,725784,726824,+,1041
YJR075W,X,573981,575171,+,1191
YJR052W,X,532062,533759,+,1698
IRT1,X,605936,607424,-,1489
YJL026C-A,X,393066,393287,-,222
tE(UUC)J,X,115939,116010,-,72
YJR126C,X,656254,658689,-,2436
tL(UAA)J,X,424432,424515,-,84
tG(GCC)J1,X,396726,396796,-,71
YJL005W,X,425157,431237,+,6081
YJL206C,X,47659,49935,-,2277
YJL100W,X,237263,239086,+,1824
tT(AGU)J,X,59100,59172,-,73
YJL047C-A,X,349044,349178,-,135
tD(GUC)J2,X,355456,355527,+,72
YJL222W-B,X,9346,9483,+,138
YJR076C,X,575354,576601,-,1248
YJL217W,X,23133,23729,+,597
YJR059W,X,545787,548243,+,2457
YJR124C,X,652892,654238,-,1347
YJL143W,X,147101,147577,+,477
YJL059W,X,324964,326190,+,1227
YJR078W,X,578860,580221,+,1362
tM(CAU)J2,X,422937,423009,+,73
YJL207C,X,41389,47433,-,6045
YJL144W,X,146359,146673,+,315
YJL125C,X,185528,186679,-,1152
YJL198W,X,60844,63489,+,2646
tD(GUC)J1,X,204735,204806,+,72
YJL122W,X,189716,190243,+,528
YJL007C,X,422698,423012,-,315
YJL225C,X,466,6130,-,5665
YJL211C,X,36757,37200,-,444
YJR073C,X,572315,572935,-,621
YJR143C,X,698326,700614,-,2289
YJL131C,X,164278,165348,-,1071
YJL177W,X,90786,91657,+,872
YJR032W,X,491081,492262,+,1182
YJR151C,X,712255,715740,-,3486
YJR024C,X,470230,470964,-,735
YJL140W,X,150961,151626,+,666
YJR068W,X,567643,568704,+,1062
YJR017C,X,466521,467033,-,513
YJR058C,X,544732,545175,-,444
YJR101W,X,618234,619034,+,801
YJL026W,X,392404,393603,+,1200
YJL096W,X,246490,246975,+,486
tM(CAU)J1,X,391043,391115,-,73
tR(CCU)J,X,538555,538626,+,72
YJR156C,X,728574,729596,-,1023
YJL063C,X,315759,316475,-,717
YJR159W,X,736044,737117,+,1074
YJR094C,X,604569,605651,-,1083
tG(GCC)J2,X,531828,531898,+,71
YJL028W,X,391311,391646,+,336
YJL101C,X,234320,236356,-,2037
YJL056C,X,330431,333073,-,2643
tY(GUA)J1,X,354244,354332,+,89
YJR041C,X,510239,513763,-,3525
YJL080C,X,285558,289226,-,3669
YJR091C,X,595061,598336,-,3276
YJR013W,X,460382,461593,+,1212
YJL222W,X,11475,16124,+,4650
YJL121C,X,190374,191090,-,717
YJL138C,X,153504,154691,-,1188
YJR047C,X,524908,525381,-,474
YJL151C,X,136372,136773,-,402
YJL057C,X,328118,330121,-,2004
YJL218W,X,21973,22563,+,591
YJR087W,X,586400,586750,+,351
YJL130C,X,165723,172367,-,6645
snR190,X,139761,139950,-,190
YJL069C,X,310922,312706,-,1785
YJL045W,X,356024,357928,+,1905
YJL091C,X,261080,262552,-,1473
YJL033W,X,383837,386149,+,2313
YJR122W,X,649776,651269,+,1494
YJL041W,X,365903,368373,+,2471
tR(UCU)J1,X,355374,355445,+,72
YJL065C,X,315054,315557,-,504
YJR148W,X,705744,706874,+,1131
YJL123C,X,188004,189440,-,1437
YJL046W,X,352386,353615,+,1230
YJR123W,X,651901,652578,+,678
YJR118C,X,643490,644101,-,612
YJL071W,X,306132,307856,+,1725
YJR015W,X,462721,464253,+,1533
YJR102C,X,619157,619765,-,609
YJL004C,X,431589,432200,-,612
YJL155C,X,129285,130643,-,1359
YJL154C,X,131101,133935,-,2835
YJR107W,X,627340,628326,+,987
YJL035C,X,380249,381001,-,753
YJR089W,X,587718,590582,+,2865
YJL042W,X,361249,365445,+,4197
YJL169W,X,102099,102467,+,369
YJL115W,X,196287,197126,+,840
YJR003C,X,440994,442553,-,1560
YJL116C,X,193860,194873,-,1014
YJL053W,X,335898,337037,+,1140
YJL124C,X,187126,187644,-,519
YJR104C,X,622550,623014,-,465
YJL105W,X,225055,226737,+,1683
YJL215C,X,26412,26771,-,360
YJR070C,X,569621,570598,-,978
YJR097W,X,612413,612931,+,519
YJL126W,X,184501,185424,+,924
YJL214W,X,26887,28596,+,1710
YJL166W,X,106434,106718,+,285
YJL023C,X,397355,398398,-,1044
YJL094C,X,251821,254442,-,2622
YJR054W,X,536056,537549,+,1494
YJR141W,X,695906,696949,+,1044
YJL191W,X,73787,74611,+,825
YJR135C,X,676059,676778,-,720
YJL049W,X,345973,347325,+,1353
YJR155W,X,727405,728271,+,867
YJL109C,X,212000,217309,-,5310
YJL013C,X,409493,411040,-,1548
YJL141C,X,147967,150390,-,2424
YJL133C-A,X,159623,159847,-,225
YJL178C,X,89282,90097,-,816
YJR022W,X,469784,470113,+,330
YJL062W,X,317284,319776,+,2493
YJL197C-A,X,65805,66086,-,282
YJL082W,X,281185,283380,+,2196
YJL120W,X,191022,191345,+,324
YJL098W,X,242082,245258,+,3177
YJL152W,X,136174,136533,+,360
YJR162C,X,744911,745261,-,351
YJL196C,X,67850,68782,-,933
YJL003W,X,432644,433000,+,357
YJL015C,X,407142,407426,-,285
YJL075C,X,298460,298876,-,417
YJR020W,X,468001,468333,+,333
YJL205C,X,50139,50443,-,305
YJR113C,X,638232,638975,-,744
YJR111C,X,635855,636706,-,852
YJR055W,X,538772,539266,+,495
tY(GUA)J2,X,542956,543044,-,89
YJL148W,X,140437,141138,+,702
tS(AGA)J,X,524012,524093,-,82
YJL097W,X,245591,246244,+,654
YJL031C,X,386368,387438,-,1071
YJR132W,X,669522,672668,+,3147
YJL092W,X,257423,260947,+,3525
YJL083W,X,278841,280655,+,1815
YJL175W,X,94049,94561,+,513
YJL225W-A,X,829,1311,+,483
snR60,X,349130,349233,-,104
YJL102W,X,231301,233760,+,2460
YJL077W-A,X,294799,294885,+,87
YJL052C-A,X,337884,338003,-,120
YJR083C,X,582608,583537,-,930
YJL128C,X,178097,180103,-,2007
YJR005C-A,X,448477,448758,-,282
YJR042W,X,514055,516289,+,2235
YJL209W,X,38005,39969,+,1965
YJL087C,X,270002,272485,-,2484
YJR127C,X,658917,663059,-,4143
YJL210W,X,36919,37734,+,816
YJR134C,X,673729,675852,-,2124
YJL076W,X,295245,298814,+,3570
YJR027W,X,472760,478028,+,5269
YJL113W,X,198678,203325,+,4648
YJR026W,X,472760,474082,+,1323
YJR028W,X,478344,479666,+,1323
YJL114W,X,197915,198595,+,681
YJR029W,X,478344,483612,+,5269
YKL103C,XI,246138,247682,-,1545
tL(UAA)K,XI,84208,84291,+,84
YKL131W,XI,194478,194999,+,522
tV(AAC)K1,XI,308144,308217,-,74
tT(CGU)K,XI,46735,46806,-,72
snR69,XI,364776,364876,+,101
YKR004C,XI,446799,448036,-,1238
YKR092C,XI,612665,613885,-,1221
YKL002W,XI,437778,438544,+,767
tA(AGC)K1,XI,219895,219967,+,73
YKL173W,XI,122517,125543,+,3027
YKL061W,XI,325771,326112,+,342
YKL139W,XI,182958,184544,+,1587
YKL180W,XI,109269,110129,+,861
YKL004W,XI,435580,436785,+,1206
YKL143W,XI,176781,178172,+,1392
YKL062W,XI,323228,325120,+,1893
YKL172W,XI,125759,127042,+,1284
YKR014C,XI,465367,466071,-,705
YKL149C,XI,167612,168829,-,1218
YKR099W,XI,635851,638286,+,2436
YKL110C,XI,228939,229880,-,942
YKL094W,XI,263349,264290,+,942
YKR094C,XI,617996,618750,-,755
YKR058W,XI,552770,554620,+,1851
YKL183C-A,XI,98395,98607,-,213
YKR052C,XI,532550,533464,-,915
YKL157W,XI,154991,158232,+,3242
YKL068W-A,XI,309206,309442,+,237
YKR062W,XI,559666,560652,+,987
YKL091C,XI,269718,270650,-,933
YKR073C,XI,578187,578507,-,321
YKR087C,XI,603195,604232,-,1038
YKL070W,XI,306211,306720,+,510
YKR038C,XI,511999,513159,-,1161
YKR048C,XI,525387,526640,-,1254
YKL096W-A,XI,259253,259531,+,279
YKL014C,XI,411619,416913,-,5295
YKR082W,XI,592825,596298,+,3474
YKR045C,XI,523418,523969,-,552
YKL018C-A,XI,403580,403879,-,300
YKL126W,XI,205707,207749,+,2043
YKR072C,XI,576435,578123,-,1689
YKR075W-A,XI,580212,580481,+,270
YKL074C,XI,294610,296193,-,1584
YKL087C,XI,277189,277863,-,675
YKL018W,XI,404102,405091,+,990
YKL135C,XI,186460,188640,-,2181
YKL112W,XI,226570,228765,+,2196
YKR085C,XI,599094,599681,-,588
YKR102W,XI,646356,649865,+,3510
YKL217W,XI,22234,24084,+,1851
YKR044W,XI,522015,523346,+,1332
YKR080W,XI,590395,591357,+,963
YKL065W-A,XI,315954,316175,+,222
YKL156C-A,XI,158975,159091,-,117
YKR068C,XI,570328,570909,-,582
YKR027W,XI,491364,493661,+,2298
YKL081W,XI,282891,284455,+,1565
YKR022C,XI,482171,483139,-,969
YKL083W,XI,280921,281535,+,615
YKL198C,XI,68232,70220,-,1989
YKR007W,XI,451434,451988,+,555
YKR078W,XI,584952,586709,+,1758
YKR001C,XI,440608,442722,-,2115
YKR025W,XI,487770,488618,+,849
YKL124W,XI,210593,212332,+,1740
YKR095W,XI,619805,625432,+,5628
YKL129C,XI,196349,200167,-,3819
YKL100C,XI,253697,255460,-,1764
YKL041W,XI,360143,360817,+,675
YKL221W,XI,6107,7528,+,1422
YKL031W,XI,382072,382485,+,414
YKR074W,XI,579209,579676,+,468
YKL138C,XI,185286,185681,-,396
YKL063C,XI,321015,321518,-,504
tK(UUU)K,XI,578965,579060,+,96
YKL024C,XI,392526,393140,-,615
YKL086W,XI,278281,278664,+,384
YKL073W,XI,296430,299075,+,2646
YKR006C,XI,450423,451217,-,795
YKL034W,XI,371829,374105,+,2277
YKL118W,XI,219126,219437,+,312
YKL104C,XI,243220,245373,-,2154
YKL191W,XI,81035,82639,+,1605
YKR042W,XI,519527,520624,+,1098
YKR013W,XI,463959,464948,+,990
YKR101W,XI,640540,642504,+,1965
YKL039W,XI,362622,364193,+,1572
YKL214C,XI,31082,31693,-,612
YKL155C,XI,159456,161342,-,1887
YKL116C,XI,221344,222900,-,1557
YKR089C,XI,605633,608365,-,2733
YKR018C,XI,473723,475900,-,2178
YKR079C,XI,586789,589305,-,2517
YKL153W,XI,163600,164109,+,510
YKL027W,XI,387562,388905,+,1344
YKL100W-A,XI,254159,254248,+,90
YKL035W,XI,369891,371390,+,1500
YKL084W,XI,280509,280859,+,351
YKL207W,XI,48194,48955,+,762
YKR066C,XI,566113,567198,-,1086
YKL117W,XI,220324,220974,+,651
YKL140W,XI,180779,182425,+,1647
YKL007W,XI,429302,430108,+,807
YKL051W,XI,341312,342373,+,1062
YKL022C,XI,394726,397248,-,2523
YKL021C,XI,397344,398750,-,1407
YKL148C,XI,169207,171129,-,1923
YKL038W,XI,365605,369117,+,3513
YKL125W,XI,208247,210130,+,1884
YKL048C,XI,347214,349136,-,1923
YKL053W,XI,339572,339946,+,375
YKR093W,XI,615730,617535,+,1806
YKL201C,XI,63930,67466,-,3537
YKL123W,XI,212043,212423,+,381
YKL224C,XI,1810,2181,-,372
YKL077W,XI,291453,292631,+,1179
YKR103W,XI,653080,656736,+,3657
YKR104W,XI,656836,657756,+,921
YKR024C,XI,485144,487372,-,2229
YKR056W,XI,549448,551367,+,1920
YKL203C,XI,55935,63359,-,7425
YKR054C,XI,535647,547925,-,12279
YKR057W,XI,551657,552242,+,586
YKL133C,XI,191679,193070,-,1392
tH(GUG)K,XI,313401,313472,-,72
YKL122C,XI,212495,212998,-,504
YKR100C,XI,638901,639968,-,1068
YKR083C,XI,596421,596822,-,402
YKL225W,XI,451,798,+,348
YKL189W,XI,84704,85903,+,1200
YKL113C,XI,224727,225875,-,1149
tV(AAC)K2,XI,379680,379753,+,74
YKL213C,XI,31960,34107,-,2148
YKL154W,XI,161601,162335,+,735
YKR063C,XI,560789,562297,-,1509
YKL163W,XI,144401,145378,+,978
YKL174C,XI,120380,122236,-,1857
YKL134C,XI,189124,191442,-,2319
YKR011C,XI,461635,462696,-,1062
YKL005C,XI,433093,434877,-,1785
YKL069W,XI,307285,307827,+,543
YKL006W,XI,431906,432720,+,815
YKL187C,XI,89284,91536,-,2253
YKL111C,XI,228464,228799,-,336
YKR035W-A,XI,507939,508553,+,615
YKL182W,XI,100671,106826,+,6156
YKL099C,XI,255720,256472,-,753
YKL179C,XI,110464,112503,-,2040
YKL047W,XI,349463,351013,+,1551
YKL049C,XI,346075,346764,-,690
YKL220C,XI,9091,11226,-,2136
YKL183W,XI,98721,99641,+,921
YKL181W,XI,107316,108599,+,1284
YKL088W,XI,275283,276998,+,1716
YKL209C,XI,42423,46295,-,3873
tL(CAA)K,XI,458557,458670,+,114
YKR019C,XI,476216,478063,-,1848
YKR012C,XI,463739,464116,-,378
YKL166C,XI,134509,135705,-,1197
YKL016C,XI,407465,407989,-,525
YKR086W,XI,599857,603072,+,3216
tR(ACG)K,XI,490968,491040,+,73
YKL141W,XI,179667,180263,+,597
YKL065C,XI,316437,317057,-,621
YKL013C,XI,417508,418023,-,516
YKL040C,XI,361058,361828,-,771
YKR061W,XI,557677,558954,+,1278
YKL096W,XI,261132,261851,+,720
YKR050W,XI,527815,530484,+,2670
YKL170W,XI,130634,131050,+,417
YKR046C,XI,524223,525074,-,852
YKL210W,XI,39163,42237,+,3075
YKR002W,XI,443232,444938,+,1707
YKL015W,XI,408544,411483,+,2940
snR87,XI,431030,431138,-,109
YKL009W,XI,426242,426952,+,711
YKL108W,XI,234426,235787,+,1362
YKR097W,XI,631152,632801,+,1650
YKL071W,XI,305114,305884,+,771
YKL075C,XI,292956,294308,-,1353
YKL206C,XI,49006,49809,-,804
tD(GUC)K,XI,513332,513403,-,72
YKL195W,XI,75821,77032,+,1212
YKL130C,XI,195288,196028,-,741
YKL064W,XI,317764,320673,+,2910
YKR026C,XI,488738,489655,-,918
YKL076C,XI,292838,293221,-,384
YKL188C,XI,86225,88786,-,2562
YKL196C,XI,74932,75534,-,603
snR42,XI,559016,559366,-,351
YKR105C,XI,658716,660464,-,1749
YKL109W,XI,232227,233891,+,1665
